,关键词,作者,正文,时间,内容源
2034,生活垃圾,福建今日热点,#福州共享#【你每天会制造多少生活垃圾？看看她，四年垃圾仅装一支玻璃瓶】美国纽约大学的毕业生劳伦•辛格在大学期间主修环境科学，她崇尚可持续的生活方式，四年的垃圾仅仅一支玻璃瓶就可以装下；在过去两年中，她没有产生任何垃圾！这是怎么做到的？戳视频了解！O网页链接央视新闻,2016-09-23,微博
2035,生活垃圾,发现福州in,#福州身边事#【龙院路旁荒地上垃圾多盖山镇：将加强监管】#南台岛新闻#近日有市民反映，仓山高湖村龙院路往桥南静益寺方向，一块荒地上堆了200多平方米的垃圾，多为布料残片和装修废料，臭味袭人，还有多处焚烧过的痕迹。附近村民希望能尽快将这些垃圾清运。盖山镇政府工作人员表示将加强监管。,2016-09-22,微博
2036,生活垃圾,福州日报,【你每天会制造多少生活垃圾？看看她，四年垃圾仅装一支玻璃瓶】美国纽约大学的毕业生劳伦•辛格在大学期间主修环境科学，她崇尚可持续的生活方式，四年的垃圾仅仅一支玻璃瓶就可以装下；在过去两年中，她没有产生任何垃圾！这是怎么做到的？戳视频了解！O网页链接,2016-09-21,微博
2037,生活垃圾,长乐图书馆,#乡音话中秋#.阿肥猪，阿肥肚，阿肥老婆做媳妇，做哪里？做下渡，下渡没事做，回来倒垃圾(BUNLOU)，垃圾不卫生，回来吃花生，花生不好吃，回来做乞丐，乞丐做不象，回来做和尚，和尚不念经，回来打铁钉，铁钉不会打，回来做人客。@中国文明网@长乐微文明@文明福州微博,2016-09-19,微博
2038,生活垃圾,长乐图书馆,#乡音话中秋#.瓶瓶盖，盖瓶瓶，搭火车去南平，南平没事做，回来倒垃圾(BUNLOU)，垃圾不卫生，回来吃花生，花生不好吃，回来做乞丐，乞丐做不象，回来做和尚，和尚不念经，回来打铁钉，铁钉不会打，回来做人客。@中国文明网@长乐微文明@文明福州微博,2016-09-19,微博
2039,生活垃圾,福州身边事儿,#福州身边事#【福州60多条受淹路半天全部清干净】9月13日至15日，福州市环卫部门取消休息，全员上岗。截至15日晚，市、区环卫部门对60多条受淹道路因水退后遗留在路面上的淤泥垃圾进行了清理，半天共清理、清运路面淤泥等垃圾1600多吨，同时清理疏通排水口3000余个。福州市政工程管理处派出抢险人员100多人，分赴各易涝点通宵达旦值守，发现积水险情，及时处理。via海峡网,2016-09-16,微博
2040,生活垃圾,福州晚报,#直击莫兰蒂#【为奋战一线的环卫工人们点赞！】今天上午10时，福飞路涵洞汽车刚刚通行，晋安区环卫处的工人在清理路面垃圾。via福州晚报记者叶诚,2016-09-15,微博
2041,生活垃圾,福州身边事儿,#福州话题#【注意！这些坏习惯，让你体重暴增！】①不吃早餐；②睡前吃东西；③暴饮暴食；④边吃边做事，容易吃过量；⑤吃得太快，会摄入多余热量；⑥饮水太少，影响新陈代谢；⑦吃水果和蔬菜太少；⑧饿着肚子购物，容易导致多吃垃圾食品。你中招了吗？提醒避免！#福州首发#,2016-09-12,微博
2042,生活垃圾,福州你龙哥,这就是个气急败坏的屌丝个人说个人的观点买外国货就是渣渣垃圾朋友粉丝们请转发人肉最好福州钱龙地产欢迎你,2016-09-12,微博
2043,生活垃圾,福州日报,【专家辟谣：方便面不是垃圾食品已成全球第二大主食】方便面长期被污名化，添加防腐剂被归纳为不健康的“罪证”。专家表示，方便面没必要添加防腐剂。放防腐剂是为了抑制细菌，但有些情况是根本不需要放，比如水活度较低即很干的食物，企业不会为此增加成本。附上泡面n种吃法↓...O网页链接,2016-09-11,微博
2044,生活垃圾,福建今日热点,#福州互动#【专家辟谣：#方便面不是垃圾食品#已成全球第二大主食】方便面长期被污名化，添加防腐剂被归纳为不健康的“罪证”。中国食品辟谣联盟专家表示，方便面没必要添加防腐剂。放防腐剂是为了抑制细菌，但有些情况是根本不需要放，比如水活度较低即很干的食物，企业不会增加成本去无端添加的。O网页链接方便面的N种做法↓看得流口水噢。O方便面不是垃圾食品方便面的N种做法，看的流口水噢！,2016-09-10,微博
2045,生活垃圾,福州发布,【榕首个餐厨垃圾处理厂年内动建】#福州政务信息#针对市政协委员兰志红提交的《关于加快推进我市餐厨垃圾专业化处理的建议》提案，市政协昨日开展提案对口协商会。榕首个餐厨垃圾收集运输和处置PPP项目计划于年底前开工建设，力争于2017年12月竣工投入运行。O榕首个餐厨垃圾处理厂年内动建　力争明年底运行,2016-09-09,微博
2046,生活垃圾,福州发布,【福清支援三溪乡修建垃圾焚烧炉】#“尼伯特”灾后重建#三溪乡仅有一座2009年修建、日处理量5吨的垃圾焚烧炉，“7•9”特大洪灾中，焚烧炉损毁严重。由福清市援建的三溪乡垃圾收集转运处理系统修复工程目前基础工程已经完成，主体工程预计1个月后完工。建成后垃圾日处理量20吨。,2016-09-06,微博
2047,生活垃圾,福州一路行,#福州生活#【垃圾箱的新功能-公交站牌】五四北秀峰路由北往南，盛盛花园公交站点由于道路施工，现连公交站牌都不见了，整个站点就剩个垃圾箱，不懂的人谁会知道这是公交站点，夜间坐公交师傅直接开过站点没停，问其原因师傅说那连路灯都没有，也没站牌，晚上很难找到站点，开着就过头…虽然在修路大家都坚持，不过是不是也要弄个简易站牌@福州身边事儿@福州数字城管@福州交通,2016-09-04,微博
2048,生活垃圾,福州发布,【榕试行垃圾运输管理规定】#福州政务信息#市城管委近日出台《福州市城市生活垃圾运输管理规定及处罚标准》，从9月1日开始试行，旨在进一步规范城市生活垃圾运输管理，提高城市环境卫生水平，减少垃圾运输对城市道路的污染。O榕试行垃圾运输管理规定　未经审核不得运输垃圾,2016-08-31,微博
2049,生活垃圾,福州新闻网fznews,【福州垃圾分类试点6年效果不尽如人意立法调研启动】垃圾分类是近几年省市人大代表关注的重点话题之一。福州自2010年开展垃圾分类试点，效果一直不尽如人意。这项工作到底难在哪里？怎样才能有力推动？O榕垃圾分类试点6年效果不尽如人意立法调研启动,2016-08-30,微博
2050,生活垃圾,福州生活圈,#福州传播#【强烈要求#新华财经请向福建人民道歉#】垃圾媒体@新华财经昨日发布微博称福建省四大特产：骗子、游医、造假者、黑社会。脑子是个好东西，连南平和武夷山都分不清也瞎逼逼。随后被删除而新华财经并不悔改，继续“炮轰”福建！作为一名福建人，绝不接受这种地域炮攻击，不接受恶意诽谤！强烈要求新华财经向福建人道歉来，大家动动小手，举报起来！,2016-08-28,微博
2051,生活垃圾,蕾特恩专业祛痘福州连锁,【有一种难过，叫我不在福州】只要您在福州，有痘痘，痘印，痘坑、粉刺，黑头、毛孔粗大，都可以来找我们。暑期最后一波低价来袭，原价396元的超人气祛痘套餐【皮肤检测、除螨、消炎、疏通毛囊口、清洁皮肤垃圾、补水、修复、细胞祛痘】只需39元！39元啊！不在福州就哭吧！预约报名立即私信小蕾吧,2016-08-26,微博
2052,生活垃圾,福州身边事儿,#福州身边事#【鳌中路现路边摊占据咪表停车位带来油烟和垃圾】今年3月份起，路边摊进入海润滨江花园小区门口，带来许多油烟污染和成堆的垃圾。城管部门已经多次介入，但效果并不明显，劝走他们之后，第二天他们又重新开始摆摊，和城管“打游击”。工作人员也向记者表示，近期会加强整治该路段。via:福州晚报,2016-08-19,微博
2053,生活垃圾,福州小鱼,#福州城事#【福州前屿东路早市散去垃圾满地部门：将完善保洁管理】市民江女士反映，每天早上有许多摊贩在晋安区前屿东路边摆摊，直接将垃圾扔在地上。临近中午撤摊后，整条马路上都是垃圾和污水，绵延一两公里，臭气熏天。鼓山镇城管中队的陈队长也表示，会加大对前屿东路早市摊贩的管理力度。,2016-08-17,微博
2054,生活垃圾,福州身边事儿,#福州身边事#【福州前屿东路早市散去垃圾满地部门：将完善保洁管理】市民江女士反映，每天早上有许多摊贩在晋安区前屿东路边摆摊，直接将垃圾扔在地上。临近中午撤摊后，整条马路上都是垃圾和污水，绵延一两公里，臭气熏天。鼓山镇城管中队的陈队长也表示，会加大对前屿东路早市摊贩的管理力度。via:福州晚报,2016-08-17,微博
2055,生活垃圾,生活在福州,#福州身边事#【549吨走私衣服目的地为福建莆田主要来自垃圾场、太平间等】昨日，广东边防总队深圳市边防支队对外宣布，深圳查获549吨从国外走私到国内的旧衣物，目的地为福建莆田，这是深圳历年来查获走私旧衣服最多的一次。据了解，走私旧服装来源复杂，主要是从国外的垃圾场、医院太平间、废品处理厂等地搜集而来。一般不经过消毒处理。,2016-08-13,微博
2056,生活垃圾,福建今日热点,#福州共享#【549吨走私衣服目的地为福建莆田主要来自垃圾场、太平间等】昨日，广东边防总队深圳市边防支队对外宣布，深圳查获549吨从国外走私到国内的旧衣物，目的地为福建莆田，这是深圳历年来查获走私旧衣服最多的一次。据了解，走私旧服装来源复杂，主要是从国外的垃圾场、医院太平间、废品处理厂等地搜集而来。一般不经过消毒处理。（南方都市报）,2016-08-13,微博
2057,生活垃圾,海峡网-福建报业新媒体网站,#福州新闻#【福州一女孩公交上吃快餐萝卜青菜扔车内】女孩坐公交车，吃着快餐，还将食物垃圾丢了一地。昨日下午，福州166路公交车上的这一幕，被网友拍下传到了网上，引网友一片吐槽，批评女孩没素质。昨日，海都记者联系了曝光这一幕的网友黄女士。据黄女士介绍，昨日下午2时许，她从省图书馆站上车，乘坐166路公交车上班。当车行驶到屏山公园站时，一个背包的女孩上车，女孩看上去像中学生。女孩一上车就坐到车尾。女孩坐好后，就拿出便当吃起来，并将一次性筷子的包装袋随意扔到车厢，这期间还挑出胡萝卜、青菜、面条等不爱吃的扔在地上。O福州一女孩公交上吃快餐萝卜青菜扔车内,2016-08-12,微博
2058,生活垃圾,人民网福建频道,#公交不是垃圾桶#【网曝福州一女子乘公交边吃边丢垃圾】@你不要哭这样不好看：“姑娘，很抱歉偷拍了你，因为你的行为实在令人发指。姑娘，你爱吃，我没意见，但是麻烦你不要在公车上随地扔东西，对于你家庭教养和学校教育的缺失以及作为一个公民最基本的道德缺失我深感抱歉。”PS：爱吃不是错，但公共秩序要遵守，公共环境要爱护！,2016-08-11,微博
2059,生活垃圾,人民网福建频道,【光禄坊公园成纳凉人就餐点食客随手扔垃圾】福州骄阳似火，白天都不敢出门，选择在晚间出来纳凉。福州市三坊七巷光禄坊有一处街心公园，是福州传统的纳凉宝地，晚间有许多人来这里享受月色和清风，却有人把这里当成夜间就餐点，随手将垃圾丢进了凉亭边的水池里，留下污染也留下不文明。via:海峡网,2016-08-08,微博
2060,生活垃圾,福州身边事儿,#福州身边事#【光禄坊公园成纳凉人就餐点食客随手扔垃圾】福州骄阳似火，白天都不敢出门，选择在晚间出来纳凉。福州市三坊七巷光禄坊有一处街心公园，是福州传统的纳凉宝地，晚间有许多人来这里享受月色和清风，却有人把这里当成夜间就餐点，随手将垃圾丢进了凉亭边的水池里，留下污染也留下不文明。#福州爆料#via:海峡网,2016-08-08,微博
2061,生活垃圾,福州新闻网fznews,【福州光禄坊公园成纳凉人就餐点　食客随手扔垃圾】福州市三坊七巷光禄坊有一处街心公园，是福州传统的纳凉宝地，晚间有许多人来这里享受月色和清风，却有人把这里当成夜间就餐点，随手将垃圾丢进了凉亭边的水池里，留下污染，也留下不文明。O福州光禄坊公园成纳凉人就餐点　食客随手扔垃圾,2016-08-08,微博
2062,生活垃圾,福州日报,【观赏长乐“蓝眼泪”游客数量骤增海滩上留垃圾】8月3日，长乐滨江滨海路象鼻澳海滩大面积的“蓝眼泪”又在网络上火了一把。“蓝眼泪”火了，这里游客骤增，每晚都有几千人。然而，一些游人来欣赏美景，却将大量垃圾留下。O观赏长乐“蓝眼泪”游客数量骤增海滩上留垃圾,2016-08-07,微博
2063,生活垃圾,福州头条,#福州新闻#【游客留下数百米垃圾带“蓝眼泪”海滩在流泪】如梦如幻的“蓝眼泪”，让长乐大鹤海滩走红，但大量游客慕名而至，却成为这片美丽沙滩的“灾难”，留下数百米垃圾带，令人痛心。网友呼吁，游客应带着“文明”出发，当地部门也应加强管理，共同维护碧海银沙。O你们眼中长乐蓝眼泪，五天内却成了这样……令人心痛！（海都）,2016-08-07,微博
2064,生活垃圾,福州生活圈,#福州身边事#【游客留下数百米垃圾带“蓝眼泪”海滩在流泪】如梦如幻的“蓝眼泪”，让长乐大鹤海滩走红，但大量游客慕名而至，却成为这片美丽沙滩的“灾难”，留下数百米垃圾带，令人痛心。网友呼吁，游客应带着“文明”出发，当地部门也应加强管理，共同维护碧海银沙。O你们眼中长乐蓝眼泪，五天内却成了这样……令人心痛！,2016-08-07,微博
2065,生活垃圾,福州吃喝玩乐疯,#福州身边事#【游客留下数百米垃圾带“蓝眼泪”海滩在流泪】近日，如梦如幻的“蓝眼泪”，让长乐大鹤海滩走红，大量游客慕名而至。但昨日多位市民反映：连续数日，大量游客涌上沙滩，留下数百米垃圾带，令人痛心。他们呼吁，游客应带着“文明”出发，当地部门也应加强管理，共同维护碧海银沙。via海峡网,2016-08-07,微博
2066,生活垃圾,福州身边事儿,#福州身边事#【游客留下数百米垃圾带“蓝眼泪”海滩在流泪】近日，如梦如幻的“蓝眼泪”，让长乐大鹤海滩走红，大量游客慕名而至。但昨日多位市民反映：连续数日，大量游客涌上沙滩，留下数百米垃圾带，令人痛心。他们呼吁，游客应带着“文明”出发，当地部门也应加强管理，共同维护碧海银沙。via海峡网,2016-08-07,微博
2067,生活垃圾,福州身边事儿,#福州生活#【长乐“蓝眼泪”引观景人潮但请注意文明观赏！】@峰峰峰峰峰峰峰峰峰子：“来看蓝眼泪的人要是把灯关了，把垃圾带走就好了。”开演唱会似的打着灯，不知还能否看见“蓝眼泪”闪闪发光？,2016-08-05,微博
2068,生活垃圾,海峡网-福建报业新媒体网站,#福州新闻#【鼓山盘山公路旁垃圾成堆管理处：欢迎举报】鼓山路旁的绿树丛间竟然出现成堆的建筑垃圾，真是大煞风景。”昨日，饶先生给本报报料：他沿着鼓山风景区公路登山时，在5公里处的一处山坡发现了一堆建筑垃圾，看样子还有蔓延的趋势，他怀疑有人要填垃圾建违建。负责人称，由于暑期游客量激增，可能存在人手不足的情况。他们会加强巡视，及时清理垃圾。对记者反映的情况他尚不知情，管理处会尽快派人处理。市民可拨打管理处电话0591-83921184举报乱扔垃圾现象。O鼓山盘山公路旁垃圾成堆管理处：欢迎举报,2016-08-05,微博
2069,生活垃圾,福州日报,【1分钟视频告诉你：车窗垃圾威力有多大[震惊]】据报道，当以每小时120公里的速度在高速上行驶时，从车窗抛出的物体，威力接近于小口径手枪的子弹冲击力，对其他车辆构成极大威胁！视频中，面包车司机随手扔了个饮料瓶，砸到后车赔了一万八，为了交通安全，不要向窗外抛掷垃圾！O网页链接,2016-08-03,微博
2070,生活垃圾,福州日报,#福州推荐#这个水中垃圾收集器需全国普及O网页链接,2016-07-31,微博
2071,生活垃圾,福州新闻网fznews,【秀北小区门口有人半夜偷倒垃圾　立警示牌无效果】小区对面是五四北泰禾广场，居民说，很多垃圾都是那里的夜宵摊点产生的。小区业主陈先生介绍，垃圾都是半夜偷倒的，用纸箱或者箩筐装完倒在这，“有几次我遇到了，劝他们不能这样，可他们根本不理。”O秀北小区门口有人半夜偷倒垃圾　立警示牌无效果,2016-07-28,微博
2072,生活垃圾,福州小鱼,#福州城事#【占道车卖水果挤得过路车压线　地面遗留纸皮垃圾】）“我也不想整天压到双实线，然后逆向行驶，但是水果摊把整个车道都占了，被迫违章也是情非得已，这些乱摆摊的该好好管一管了！”前日，市民林女士反映台江区长寿路永辉超市附近，有人开皮卡卖水果严重占道。前晚7时许，记者来到张女士反映的长寿路永辉超市路段，看见十来辆装满水果的皮卡堂而皇之地停在长寿路上，占据了由北往南的两车道。不仅如此，地面上到处都是烂水果和水果包装纸，高音喇叭肆无忌惮地播放着贩卖的声音。记者将情况反映给有关部门，执法人员告诉记者，他们定期会整治该路段。这些摊主常常和执法部门“打游击”，给执法造成一定难度，近期他们会加大巡逻力度，严惩这些流动摊贩。,2016-07-26,微博
2073,生活垃圾,海峡网-福建报业新媒体网站,#福州新闻#【占道车卖水果挤得过路车压线　地面遗留纸皮垃圾】）“我也不想整天压到双实线，然后逆向行驶，但是水果摊把整个车道都占了，被迫违章也是情非得已，这些乱摆摊的该好好管一管了！”前日，市民林女士反映台江区长寿路永辉超市附近，有人开皮卡卖水果严重占道。前晚7时许，记者来到张女士反映的长寿路永辉超市路段，看见十来辆装满水果的皮卡堂而皇之地停在长寿路上，占据了由北往南的两车道。不仅如此，地面上到处都是烂水果和水果包装纸，高音喇叭肆无忌惮地播放着贩卖的声音。记者将情况反映给有关部门，执法人员告诉记者，他们定期会整治该路段。这些摊主常常和执法部门“打游击”，给执法造成一定难度，近期他们会加大巡逻力度，严惩这些流动摊贩。O占道车卖水果挤得过路车压线　地面遗留纸皮垃圾,2016-07-26,微博
2074,生活垃圾,福州新闻网fznews,【占道车卖水果挤得过路车压线　地面遗留纸皮垃圾】“我也不想整天压到双实线，然后逆向行驶，但是水果摊把整个车道都占了，被迫违章也是情非得已，这些乱摆摊的该好好管一管了！”O占道车卖水果挤得过路车压线　地面遗留纸皮垃圾,2016-07-26,微博
2075,生活垃圾,福建省登协,【百余位志愿者走进闽侯大青坑清出垃圾近4吨】24日，为了恢复环境，福建省登山协会联合福州部分户外俱乐部于举办了“闽侯大清坑环保志愿者活动日”，将大青坑遗留的垃圾带出山里，并由闽侯县登山协会负责后期处理，把洁净清新还给大青坑。O百余位志愿者走进闽侯大青坑清出垃圾近4吨,2016-07-25,微博
2076,生活垃圾,福州日报,#福州身边事#【福州闽江公园南园沙滩上现大量垃圾煞风景】福州闽江公园南园近来沿河一处沙滩排球场，河岸边居然堆着许多垃圾。主要是空塑料瓶、泡沫板和废木料等，总面积有几十平方米，像“牛皮癣”一样，确实破坏风景。闽江公园管理人员表示，闽江潮起潮落会正常携带垃圾漂到沙滩边，前几天的台风和大雨导致闽江水位上涨，上游又开闸放水，导致大量垃圾被冲刷下来，堆积在公园的沙滩上。由于目前水位还不稳定，所以暂时先将垃圾归拢起来，等水位平稳了，再做统一处理。,2016-07-19,微博
2077,生活垃圾,福州没有新鲜事,#福州身边事#【福州闽江公园南园沙滩上现大量垃圾煞风景】福州闽江公园南园近来沿河一处沙滩排球场，河岸边居然堆着许多垃圾。主要是空塑料瓶、泡沫板和废木料等，总面积有几十平方米，像“牛皮癣”一样，确实破坏风景。闽江公园管理人员表示，闽江潮起潮落会正常携带垃圾漂到沙滩边，前几天的台风和大雨导致闽江水位上涨，上游又开闸放水，导致大量垃圾被冲刷下来，堆积在公园的沙滩上。由于目前水位还不稳定，所以暂时先将垃圾归拢起来，等水位平稳了，再做统一处理。,2016-07-19,微博
2078,生活垃圾,福州身边事儿,#福州身边事#【福州闽江公园南园沙滩上垃圾带煞风景】16日，有市民反映，闽江公园南园的沙滩排球场上散落着不少垃圾，主要是空塑料瓶、泡沫板和废木料等，总面积有几十平方米。一名保安介绍，这些垃圾是从上游冲刷下来的，昨日早上已经有清洁人员将垃圾收拢在一起，否则会更凌乱，稍晚时候会统一处理。via海峡网,2016-07-18,微博
2079,生活垃圾,福建法治报,【福州市消防支队官兵：“最脏的活，我们来！”】随着天气放晴，气温升高，闽清受灾区域的各类垃圾开始变质发臭，虽然救灾队伍不分昼夜的进行清理转移销毁，但部分受灾点的清理工作依然面临很大的困难，给群众恢复生产生活带来不便。福州消防支队的官兵们依旧奋战在最前线。O网页链接,2016-07-15,微博
2080,生活垃圾,人民网福建频道,【露天超大垃圾场围堵福州祥亭佳园，居民难忍恶臭】读者陈女士昨日反映，东浦路祥亭佳园小区大门外长期堆放大量生活垃圾，而一直没有人清理。台风过后气温再次升高，垃圾腐败后散发的恶臭让居民难以忍受。该处垃圾场占地三百多平方米，堆积的垃圾有一米多高，多为各种袋装的生活垃圾，也有果皮纸屑等零散的垃圾。记者走访了小区物业处，工作人员表示，小区内部的垃圾他们都有专门归类清运，不会留在小区内和周边。该处垃圾场在小区外，不属于他们管理范围。随后，记者就此事联系了茶园街道办事处，值班工作人员表示，将马上通知当地社区居委会人员到现场核实，尽快处理掉垃圾。O露天超大垃圾场围堵祥亭佳园（福州晚报）,2016-07-14,微博
2081,生活垃圾,福州吃喝玩乐疯,#福州身边事#【祥亭佳园小区门口变垃圾场恶臭难忍】祥亭佳园小区大门外长期堆放大量生活垃圾，而一直没有人清理。台风过后气温再次升高，垃圾腐败后散发的恶臭让居民难以忍受。该处垃圾场占地三百多平方米，堆积的垃圾有一米多高，多为各种袋装的生活垃圾，也有果皮纸屑等零散的垃圾。工作人员表示，该处垃圾场在小区外，不属于他们管理范围。（福州晚报）O露天超大垃圾场围堵祥亭佳园,2016-07-14,微博
2082,生活垃圾,福州没有新鲜事,#福州身边事#【福州祥亭佳园小区门口变垃圾场，居民难忍恶臭】祥亭佳园小区大门外长期堆放大量生活垃圾，而一直没有人清理。台风过后气温再次升高，垃圾腐败后散发的恶臭让居民难以忍受。该处垃圾场占地三百多平方米，堆积的垃圾有一米多高，多为各种袋装的生活垃圾，也有果皮纸屑等零散的垃圾。工作人员表示，该处垃圾场在小区外，不属于他们管理范围。O露天超大垃圾场围堵祥亭佳园（福州晚报）,2016-07-14,微博
2083,生活垃圾,中新社福建,#第一号台风尼伯特#【福州消防闽清救灾进展通报】截至12日上午11时30分，福州市消防支队抗洪抢险突击队已在坂东镇黄乃裳纪念馆清理出垃圾近10吨。巨大的洪流将超市内各类货架和物品冲得积压变形，突击队的燕文航、郑志强、蒋少聪3名战士的脚部和手部被刺伤割伤，随队的军医迅速对伤口进行紧急清洗消毒...,2016-07-12,微博
2084,生活垃圾,福州生活圈,#福州身边事#【福州消防致力闽清救灾】截至12日上午11时30分，福州市消防支队抗洪抢险突击队已在坂东镇黄乃裳纪念馆清理出垃圾近10吨。巨大的洪流将超市内各类货架和物品冲得积压变形，突击队的燕文航、郑志强、蒋少聪3名战士的脚部和手部被刺伤割伤，随队的军医迅速对伤口进行紧急清洗消毒。by新浪福建,2016-07-12,微博
2085,生活垃圾,新浪福建,#第一号台风尼伯特#【福州消防闽清救灾进展通报】截至12日上午11时30分，福州市消防支队抗洪抢险突击队已在坂东镇黄乃裳纪念馆清理出垃圾近10吨。巨大的洪流将超市内各类货架和物品冲得积压变形，突击队的燕文航、郑志强、蒋少聪3名战士的脚部和手部被刺伤割伤，随队的军医迅速对伤口进行紧急清洗消毒。,2016-07-12,微博
2086,生活垃圾,福建消防,#1号台风尼伯特#截至7月12日上午11时30分，福州市消防支队抗洪抢险突击队已在坂东镇黄乃裳纪念馆清理出垃圾近10吨。巨大的洪流将超市内各类货架和物品冲得积压变形，突击队的燕文航、郑志强、蒋少聪3名战士的脚部和手部被刺伤割伤，随队的军医迅速对伤口进行紧急清洗消毒。（福州消防：黄绿荣）,2016-07-12,微博
2087,生活垃圾,福建消防,#1号台风尼伯特#12日上午8时30分许，按照救灾总指挥部要求，福州市消防支队抗洪抢险突击队派出3个分队共50名官兵、5部工程车辆，进驻坂东镇坂东黄乃裳纪念馆乐购生活广场，帮助受灾超市、药房、农村信用社以及周边受灾的商户清理垃圾，并协助卫生部门做好消毒防疫工作。据了解，由于超市内3个冷冻仓库被淹，库内近5吨的冷冻制品已经腐烂发臭，目前消防官兵正在全力清理冷库外围的受淹物品，再身着防护服进入冷库清理转移腐烂肉制品。（福州消防：黄绿荣）,2016-07-12,微博
2088,生活垃圾,福建交院小傲娇,#福州身边事#【1500名武警官兵支援永泰灾后重建清理垃圾150吨】10日上午11时，武警8710部队紧急出动1500名官兵，赶赴永泰县城区一线及受灾严重的清凉镇、杉城镇，参与灾后重建工作。截至10日19时，官兵已清理垃圾150吨，疏通河堤3.5公里，街道6条，重建工作仍在有序进行中。,2016-07-11,微博
2089,生活垃圾,海峡网-福建报业新媒体网站,"#福州新闻#【工人将垃圾""圈到""江心却不打捞上岸任其漂走】“工人驾船，用绳索圈住垃圾，却不打捞上岸，而是拖到江心，任其顺着江水漂流，这难道不会造成二次污染吗？”近日，多位市民反映，闽江公园西河园附近有一处西河水闸，闸门外的江面，近日从上游漂下很多垃圾，但水闸工人在处理垃圾时，却用“歪招”偷懒，希望相关部门加强管理。",2016-07-07,微博
2090,生活垃圾,福建今日热点,#福州身边事#【游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞】闽侯十八重溪是国家级风景名胜景区，区内崇山峻岭，溪水清澈见底，景色怡人。而与这么美的环境形成鲜明对比的是，景区里出现了大量不文明现象。　游客在溪边肆意烧烤，乱丢垃圾，还有人下河捕鱼，沿岸溪滩遍布垃圾。对此，景区工作人员称，游客的不文明行为，他们也有派人巡查，但是不少游客根本不听劝。市民在感叹游客素质低的同时，也质疑景区管委会监管不力。,2016-07-04,微博
2091,生活垃圾,福州吃喝玩乐疯,#福州身边事#【游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞】在闽侯十八重溪景区，游客在溪边肆意烧烤，乱丢垃圾，还有人下河捕鱼，沿岸溪滩遍布垃圾。对此，景区工作人员称，游客的不文明行为，他们也有派人巡查，但是不少游客根本不听劝。市民在感叹游客素质低的同时，也质疑景区管委会监管不力。O游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞,2016-07-04,微博
2092,生活垃圾,福州生活圈,#福州身边事#【游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞】在闽侯十八重溪景区，游客在溪边肆意烧烤，乱丢垃圾，还有人下河捕鱼，沿岸溪滩遍布垃圾。对此，景区工作人员称，游客的不文明行为，他们也有派人巡查，但是不少游客根本不听劝。市民在感叹游客素质低的同时，也质疑景区管委会监管不力。O游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞,2016-07-04,微博
2093,生活垃圾,福州身边事儿,#福州身边事#【游客肆意捕鱼乱丢垃圾闽侯十八重溪美景蒙羞】在闽侯十八重溪景区，游客在溪边肆意烧烤，乱丢垃圾，还有人下河捕鱼，沿岸溪滩遍布垃圾。对此，景区工作人员称，游客的不文明行为，他们也有派人巡查，但是不少游客根本不听劝。市民在感叹游客素质低的同时也质疑景区管委会监管不力。via:海峡都市报,2016-07-04,微博
2094,生活垃圾,人人爱福州,【游客景区肆意捕鱼丢垃圾　闽侯十八重溪美景蒙羞】闽侯十八重溪是国家级风景名胜景区，区内崇山峻岭，溪水清澈见底，景色怡人。而与这么美的环境形成鲜明对比的是，景区里出现了大量不文明现象。游客在溪边肆意烧烤，乱丢垃圾，还有人下河捕鱼，沿岸溪滩遍布垃圾。对此，景区工作人员称，游客的不文明行为，他们也有派人巡查，但是不少游客根本不听劝。,2016-07-04,微博
2095,生活垃圾,福州日报,【上海一早教中心员工用垃圾桶边缘给孩子擦嘴涉嫌无资质办学】上海吴女士投诉称，在培正逗点早教中心接外甥时，从监控中看到孩子边哭边吐，阿姨纸巾不用，竟用垃圾桶给孩子擦嘴。据普陀区教育局，该早教中心没有经教育局审批，注册登记均在工商部门。By澎湃O垃圾桶给孩子擦嘴曾自评为中国最值得信赖的十佳早教品牌,2016-07-02,微博
2096,生活垃圾,福州吃喝玩乐疯,#福州身边事#【琴亭湖清淤腐臭味浓重扑鼻湖面漂垃圾和死鱼】今年5月底启动了琴亭湖的清淤工程。但近日琴亭湖西北侧散发出腐臭味。昨日，市民陈先生反映：“今年下了那么多雨，琴亭湖什么都没留下，只剩下臭水坑。”对此，施工方福州市城乡建设发展总公司方面表示，恶臭主要是来自淤泥，如果没有出现恶劣天气，10天内该片区的清淤工作就将完工，届时周边环境将好转。via海峡网,2016-06-27,微博
